# Field Name,Field Description,,,,,,,,,
# text,The question text,,,,,,,,,
# parent,The text of the question's parent; this may be blank if the question does not have a parent,,,,,,,,,
# question_category,"The parent category (If this question has a parent, the category needs to match the parent question's category)",,,,,,,,,
# show_if_parent,"Conditional display based on response to parent question (leave blank if no parent question)- y for if favorable, n for if unfavorable",,,,,,,,,
# explanation_required,"Does the question require additional (open-ended) explanation? f for when favorable, u for when unfavorable, a for always, n for never",,,,,,,,,
# weight,"Weight value for scoring- c for critical, h for high, m for medium, l for low, i for informational",,,,,,,,,
# allow_explanation,Allow explanation if not required? true or false,,,,,,,,,
# help_text,Text that will be displayed as help text for the question,,,,,,,,,
# question_response_group,Text representing the name of the answer response group (i.e. group of answer choices) for this question,,,,,,,,,
# documentation_required,"Does the question require supporting documentation upload? f for when favorable, u for when unfavorable, a for always, n for never",,,,,,,,,
# allow_documentation,Allow supporting documentation upload if not required? true or false,,,,,,,,,
text,parent,question_category,show_if_parent,explanation_required,weight,allow_explanation,help_text,question_response_group,documentation_required,allow_documentation
CM-03 g: Does your organization have a Change Control Board (or equivalent body) that coordinates and oversees all configuration changes?,,CM — Configuration Management,y,n,m,TRUE,"**Control:** CM-03 — Configuration Change Control

**NIST 800-53 Rev 5 Control Language:**
CM-03: (a) Determine and document the types of changes to the system that are configuration-controlled; (b) Review proposed changes and approve or disapprove with explicit consideration for security and privacy impact; (c) Document configuration change decisions; (d) Implement approved changes; (e) Retain records of changes for a defined time period; (f) Monitor and review activities associated with changes; and (g) Coordinate change control via a defined configuration change control element.

**GovRAMP Parameter (Requirement g):** [Assignment resolved] Configuration change control element = Change Control Board (CCB) or equivalent governance body. Convenes for all significant changes and at minimum monthly for routine reviews.

**Suggested evidence:**
- Change management policy
- Change request and approval tickets (showing requester, approver, security review, and outcome)
- Change log or change history export
- CCB (or equivalent) meeting minutes or approval records",FedRAMP,n,TRUE
"CM-04: Before implementing a change to your system, does your team assess the potential security and privacy impact of that change?",,CM — Configuration Management,y,n,m,TRUE,"**Control:** CM-04 — Impact Analyses

**NIST 800-53 Rev 5 Control Language:**
CM-04: Analyze changes to the system to determine potential security and privacy impacts prior to change implementation.

**GovRAMP Parameter:** Impact analysis must be documented as part of the change request. For significant changes, a formal security impact analysis (SIA) may be required by the AO.

**Suggested evidence:**
- Change request template showing a security impact field
- Sample completed change ticket with security impact assessment
- Policy requiring impact analysis before change approval",FedRAMP,n,TRUE
CM-05: Are physical and logical access controls in place to restrict who can make changes to the system — and are those restrictions documented and enforced?,,CM — Configuration Management,y,n,m,TRUE,"**Control:** CM-05 — Access Restrictions for Change

**NIST 800-53 Rev 5 Control Language:**
CM-05: Define, document, approve, and enforce physical and logical access restrictions associated with changes to the system.

**GovRAMP Parameter:** Only authorized personnel (named by role in the SSP) may make configuration changes. Developers must not have direct access to production environments. Separation of duties must be enforced.

**Suggested evidence:**
- IAM policy or permission set showing production change restrictions
- Evidence of separation of duties (different accounts for dev/prod)
- Access control policy for change management",FedRAMP,n,TRUE
CM-05: Are physical and logical access controls in place to restrict who can make changes to the system — and are those restrictions documented and enforced?,,CM — Configuration Management,y,n,m,TRUE,"**Control:** CM-05 — Access Restrictions for Change

**NIST 800-53 Rev 5 Control Language:**
CM-05: Define, document, approve, and enforce physical and logical access restrictions associated with changes to the system.

**GovRAMP Parameter:** Only authorized personnel (named by role in the SSP) may make configuration changes. Developers must not have direct access to production environments. Separation of duties must be enforced.

**Suggested evidence:**
- IAM policy or permission set showing production change restrictions
- Evidence of separation of duties (different accounts for dev/prod)
- Access control policy for change management",FedRAMP,n,TRUE
CM-05: Are physical and logical access controls in place to restrict who can make changes to the system — and are those restrictions documented and enforced?,,CM — Configuration Management,y,n,m,TRUE,"**Control:** CM-05 — Access Restrictions for Change

**NIST 800-53 Rev 5 Control Language:**
CM-05: Define, document, approve, and enforce physical and logical access restrictions associated with changes to the system.

**GovRAMP Parameter:** Only authorized personnel (named by role in the SSP) may make configuration changes. Developers must not have direct access to production environments. Separation of duties must be enforced.

**Suggested evidence:**
- IAM policy or permission set showing production change restrictions
- Evidence of separation of duties (different accounts for dev/prod)
- Access control policy for change management",FedRAMP,n,TRUE
CM-06 a: Are all system components configured to a documented secure baseline — using industry standards like CIS Benchmarks or DISA STIGs?,,CM — Configuration Management,y,n,m,TRUE,"**Control:** CM-06 — Configuration Settings

**NIST 800-53 Rev 5 Control Language:**
CM-06: (a) Establish and document configuration settings for components employed within the system that reflect the most restrictive mode consistent with operational requirements using defined common secure configurations; (b) Implement the configuration settings; (c) Identify, document, and approve any deviations from established configuration settings based on defined operational requirements; and (d) Monitor and control changes to configuration settings in accordance with organizational policies and procedures.

**GovRAMP Parameter (Requirement a):** [Assignment resolved] Common secure configurations = CIS Benchmarks, DISA STIGs, or USGCB where applicable. The most restrictive settings consistent with operations must be applied.

**Suggested evidence:**
- Configuration baseline document or hardening checklist (CIS Benchmark or STIG)
- CIS-CAT or equivalent scan results showing compliance with baseline
- List of documented deviations (if any) with operational justification and approval
- Configuration drift alerts or monitoring configuration",FedRAMP,n,TRUE
CM-06 b: Are the secure configuration settings actually applied to all in-scope components (not just documented in policy)?,,CM — Configuration Management,y,n,m,TRUE,"**Control:** CM-06 — Configuration Settings

**NIST 800-53 Rev 5 Control Language:**
CM-06: (a) Establish and document configuration settings for components employed within the system that reflect the most restrictive mode consistent with operational requirements using defined common secure configurations; (b) Implement the configuration settings; (c) Identify, document, and approve any deviations from established configuration settings based on defined operational requirements; and (d) Monitor and control changes to configuration settings in accordance with organizational policies and procedures.

**GovRAMP Parameter (Requirement b):** Configuration settings must be enforced technically, not just described in a policy. Automated enforcement (e.g., AWS Config rules, startup scripts) is preferred.

**Suggested evidence:**
- Configuration baseline document or hardening checklist (CIS Benchmark or STIG)
- CIS-CAT or equivalent scan results showing compliance with baseline
- List of documented deviations (if any) with operational justification and approval
- Configuration drift alerts or monitoring configuration",FedRAMP,n,TRUE
"CM-06 c: If any component deviates from the approved baseline, is that deviation documented, justified, and formally approved?",,CM — Configuration Management,y,n,m,TRUE,"**Control:** CM-06 — Configuration Settings

**NIST 800-53 Rev 5 Control Language:**
CM-06: (a) Establish and document configuration settings for components employed within the system that reflect the most restrictive mode consistent with operational requirements using defined common secure configurations; (b) Implement the configuration settings; (c) Identify, document, and approve any deviations from established configuration settings based on defined operational requirements; and (d) Monitor and control changes to configuration settings in accordance with organizational policies and procedures.

**GovRAMP Parameter (Requirement c):** [Assignment resolved] Deviations must be documented in the SSP or a deviation log, with an operational justification and approval from the ISSO or AO. All production components deviating from the baseline must appear in this log.

**Suggested evidence:**
- Configuration baseline document or hardening checklist (CIS Benchmark or STIG)
- CIS-CAT or equivalent scan results showing compliance with baseline
- List of documented deviations (if any) with operational justification and approval
- Configuration drift alerts or monitoring configuration",FedRAMP,n,TRUE
"CM-06 d: Are all changes to configuration settings monitored, and does the process ensure unauthorized configuration changes are detected?",,CM — Configuration Management,y,n,m,TRUE,"**Control:** CM-06 — Configuration Settings

**NIST 800-53 Rev 5 Control Language:**
CM-06: (a) Establish and document configuration settings for components employed within the system that reflect the most restrictive mode consistent with operational requirements using defined common secure configurations; (b) Implement the configuration settings; (c) Identify, document, and approve any deviations from established configuration settings based on defined operational requirements; and (d) Monitor and control changes to configuration settings in accordance with organizational policies and procedures.

**GovRAMP Parameter (Requirement d):** Continuous monitoring of configuration settings is required. Tools such as AWS Config, CrowdStrike, or similar must alert on configuration drift or unauthorized changes.

**Suggested evidence:**
- Configuration baseline document or hardening checklist (CIS Benchmark or STIG)
- CIS-CAT or equivalent scan results showing compliance with baseline
- List of documented deviations (if any) with operational justification and approval
- Configuration drift alerts or monitoring configuration",FedRAMP,n,TRUE
"CM-06 (01): Are automated tools used to apply, manage, and verify that configuration settings are correctly in place across all components?",,CM — Configuration Management,y,n,m,TRUE,"**Control:** CM-06(01) — Automated Management, Application, and Verification

**NIST 800-53 Rev 5 Control Language:**
CM-06(01): Manage, apply, and verify configuration settings for defined system components using defined automated mechanisms.

**GovRAMP Parameter:** [Assignment resolved] Automated mechanisms = AWS Config rules, CIS-CAT scans, Ansible/Puppet/Chef configuration management, or equivalent tools that programmatically enforce and verify settings.

**Suggested evidence:**
- AWS Config rule results or compliance dashboard screenshot
- Automated scan results showing configuration compliance
- Infrastructure-as-code showing enforced configuration settings",FedRAMP,n,TRUE
CM-08 a-1: Is your component inventory an accurate reflection of what is currently in your system?,,CM — Configuration Management,y,n,m,TRUE,"**Control:** CM-08 — System Component Inventory

**NIST 800-53 Rev 5 Control Language:**
CM-08: Develop, document, and maintain an inventory of system components that: (a-1) accurately reflects the current system; (a-2) includes all components within the authorization boundary; (a-3) does not include duplicate or out-of-scope components; (a-4) is at the level of granularity necessary for tracking and reporting; (a-5) includes defined information to achieve accountability; and (b) reviews and updates the inventory at a defined frequency.

**GovRAMP Parameter (Requirement a-1):** The inventory must match what is actually deployed. Stale or outdated entries are a finding. Automated discovery is strongly recommended to keep the inventory current.

**Suggested evidence:**
- Current component inventory (spreadsheet, CMDB, or automated discovery output)
- Inventory review record showing last review date and reviewer
- Automated discovery tool output (e.g., CrowdStrike host list, AWS asset inventory)",FedRAMP,n,TRUE
CM-08 a-2: Does your inventory include every component within your system's authorization boundary?,,CM — Configuration Management,y,n,m,TRUE,"**Control:** CM-08 — System Component Inventory

**NIST 800-53 Rev 5 Control Language:**
CM-08: Develop, document, and maintain an inventory of system components that: (a-1) accurately reflects the current system; (a-2) includes all components within the authorization boundary; (a-3) does not include duplicate or out-of-scope components; (a-4) is at the level of granularity necessary for tracking and reporting; (a-5) includes defined information to achieve accountability; and (b) reviews and updates the inventory at a defined frequency.

**GovRAMP Parameter (Requirement a-2):** All hardware, software, and firmware components within the ATO boundary must appear in the inventory — including cloud-hosted, on-premises, and endpoint assets.

**Suggested evidence:**
- Current component inventory (spreadsheet, CMDB, or automated discovery output)
- Inventory review record showing last review date and reviewer
- Automated discovery tool output (e.g., CrowdStrike host list, AWS asset inventory)",FedRAMP,n,TRUE
CM-08 a-3: Is your inventory free of duplicates and does it only include components that belong to your system?,,CM — Configuration Management,y,n,m,TRUE,"**Control:** CM-08 — System Component Inventory

**NIST 800-53 Rev 5 Control Language:**
CM-08: Develop, document, and maintain an inventory of system components that: (a-1) accurately reflects the current system; (a-2) includes all components within the authorization boundary; (a-3) does not include duplicate or out-of-scope components; (a-4) is at the level of granularity necessary for tracking and reporting; (a-5) includes defined information to achieve accountability; and (b) reviews and updates the inventory at a defined frequency.

**GovRAMP Parameter (Requirement a-3):** Each component should appear only once and must be clearly scoped to your system. Components shared with or owned by other systems must be clearly noted.

**Suggested evidence:**
- Current component inventory (spreadsheet, CMDB, or automated discovery output)
- Inventory review record showing last review date and reviewer
- Automated discovery tool output (e.g., CrowdStrike host list, AWS asset inventory)",FedRAMP,n,TRUE
CM-08 a-4: Is the inventory detailed enough to track and report on each component individually?,,CM — Configuration Management,y,n,m,TRUE,"**Control:** CM-08 — System Component Inventory

**NIST 800-53 Rev 5 Control Language:**
CM-08: Develop, document, and maintain an inventory of system components that: (a-1) accurately reflects the current system; (a-2) includes all components within the authorization boundary; (a-3) does not include duplicate or out-of-scope components; (a-4) is at the level of granularity necessary for tracking and reporting; (a-5) includes defined information to achieve accountability; and (b) reviews and updates the inventory at a defined frequency.

**GovRAMP Parameter (Requirement a-4):** Inventory granularity must be sufficient to support vulnerability management, license tracking, and audit reporting. Individual virtual machines, containers, and endpoints should each be enumerated.

**Suggested evidence:**
- Current component inventory (spreadsheet, CMDB, or automated discovery output)
- Inventory review record showing last review date and reviewer
- Automated discovery tool output (e.g., CrowdStrike host list, AWS asset inventory)",FedRAMP,n,TRUE
"CM-08 a-5: Does your inventory include the key details needed to hold someone accountable for each component — such as owner, version, and location?",,CM — Configuration Management,y,n,m,TRUE,"**Control:** CM-08 — System Component Inventory

**NIST 800-53 Rev 5 Control Language:**
CM-08: Develop, document, and maintain an inventory of system components that: (a-1) accurately reflects the current system; (a-2) includes all components within the authorization boundary; (a-3) does not include duplicate or out-of-scope components; (a-4) is at the level of granularity necessary for tracking and reporting; (a-5) includes defined information to achieve accountability; and (b) reviews and updates the inventory at a defined frequency.

**GovRAMP Parameter (Requirement a-5):** [Assignment resolved] Required information = component owner, unique identifier, hardware/software version, component type, and physical or logical location.

**Suggested evidence:**
- Current component inventory (spreadsheet, CMDB, or automated discovery output)
- Inventory review record showing last review date and reviewer
- Automated discovery tool output (e.g., CrowdStrike host list, AWS asset inventory)",FedRAMP,n,TRUE
CM-08 b: Is the component inventory reviewed and updated on a monthly basis?,,CM — Configuration Management,y,n,m,TRUE,"**Control:** CM-08 — System Component Inventory

**NIST 800-53 Rev 5 Control Language:**
CM-08: Develop, document, and maintain an inventory of system components that: (a-1) accurately reflects the current system; (a-2) includes all components within the authorization boundary; (a-3) does not include duplicate or out-of-scope components; (a-4) is at the level of granularity necessary for tracking and reporting; (a-5) includes defined information to achieve accountability; and (b) reviews and updates the inventory at a defined frequency.

**GovRAMP Parameter (Requirement b):** [Assignment resolved] Review frequency = monthly. Automated discovery tools should continuously feed the inventory, with a formal review conducted monthly.

**Suggested evidence:**
- Current component inventory (spreadsheet, CMDB, or automated discovery output)
- Inventory review record showing last review date and reviewer
- Automated discovery tool output (e.g., CrowdStrike host list, AWS asset inventory)",FedRAMP,n,TRUE
"CM-08 (03): Does an automated tool continuously scan for unauthorized hardware, software, or firmware in your system — and is there a defined response when something unauthorized is found?",,CM — Configuration Management,y,n,m,TRUE,"**Control:** CM-08(03) — Automated Unauthorized Component Detection

**NIST 800-53 Rev 5 Control Language:**
CM-08(03): (a) Detect the presence of unauthorized hardware, software, and firmware components within the system using defined automated mechanisms at a defined frequency; and (b) Take defined actions when unauthorized components are detected.

**GovRAMP Parameter:** [Assignment resolved] (a) Automated mechanisms = CrowdStrike Falcon, AWS Config, or equivalent; frequency = continuous monitoring with monthly review. (b) Actions = disable network access for the component, isolate it, and notify the ISSO and System Owner immediately.

**Suggested evidence:**
- Screenshot of automated detection tool showing continuous monitoring is active
- Example detection alert or event showing unauthorized component detected
- Documented response procedure for unauthorized component detection",FedRAMP,n,TRUE
"CM-09 a: Does your organization have a written configuration management plan that defines roles, responsibilities, and procedures?",,CM — Configuration Management,y,n,m,TRUE,"**Control:** CM-09 — Configuration Management Plan

**NIST 800-53 Rev 5 Control Language:**
CM-09: Develop, document, and implement a configuration management plan for the system that: (a) addresses roles, responsibilities, and CM processes and procedures; (b) establishes a process for identifying configuration items throughout the SDLC; (c) defines configuration items and places them under CM; (d) is reviewed and approved by defined personnel; and (e) protects the plan from unauthorized disclosure and modification.

**GovRAMP Parameter (Requirement a):** The CM plan must name who is responsible for CM activities (ISSO, System Admin, Change Manager) and describe the procedures they follow.

**Suggested evidence:**
- Configuration management plan document
- Plan approval record (signature or ticket showing ISSO/AO review)
- List of configuration items under CM control",FedRAMP,n,TRUE
CM-09 b: Does your CM plan describe how configuration items are identified and tracked throughout the system's entire development lifecycle?,,CM — Configuration Management,y,n,m,TRUE,"**Control:** CM-09 — Configuration Management Plan

**NIST 800-53 Rev 5 Control Language:**
CM-09: Develop, document, and implement a configuration management plan for the system that: (a) addresses roles, responsibilities, and CM processes and procedures; (b) establishes a process for identifying configuration items throughout the SDLC; (c) defines configuration items and places them under CM; (d) is reviewed and approved by defined personnel; and (e) protects the plan from unauthorized disclosure and modification.

**GovRAMP Parameter (Requirement b):** The process must cover identification from initial development through decommission, including when items are first placed under CM control.

**Suggested evidence:**
- Configuration management plan document
- Plan approval record (signature or ticket showing ISSO/AO review)
- List of configuration items under CM control",FedRAMP,n,TRUE
CM-09 c: Does your CM plan define exactly which items are under configuration management control?,,CM — Configuration Management,y,n,m,TRUE,"**Control:** CM-09 — Configuration Management Plan

**NIST 800-53 Rev 5 Control Language:**
CM-09: Develop, document, and implement a configuration management plan for the system that: (a) addresses roles, responsibilities, and CM processes and procedures; (b) establishes a process for identifying configuration items throughout the SDLC; (c) defines configuration items and places them under CM; (d) is reviewed and approved by defined personnel; and (e) protects the plan from unauthorized disclosure and modification.

**GovRAMP Parameter (Requirement c):** Configuration items must be explicitly listed or described (e.g., all production servers, application code in version control, IAM policies, firewall rules).

**Suggested evidence:**
- Configuration management plan document
- Plan approval record (signature or ticket showing ISSO/AO review)
- List of configuration items under CM control",FedRAMP,n,TRUE
CM-09 d: Has the configuration management plan been formally reviewed and approved by authorized personnel?,,CM — Configuration Management,y,n,m,TRUE,"**Control:** CM-09 — Configuration Management Plan

**NIST 800-53 Rev 5 Control Language:**
CM-09: Develop, document, and implement a configuration management plan for the system that: (a) addresses roles, responsibilities, and CM processes and procedures; (b) establishes a process for identifying configuration items throughout the SDLC; (c) defines configuration items and places them under CM; (d) is reviewed and approved by defined personnel; and (e) protects the plan from unauthorized disclosure and modification.

**GovRAMP Parameter (Requirement d):** [Assignment resolved] Approving personnel = ISSO and Authorizing Official (AO). Annual review and re-approval is required.

**Suggested evidence:**
- Configuration management plan document
- Plan approval record (signature or ticket showing ISSO/AO review)
- List of configuration items under CM control",FedRAMP,n,TRUE
CM-09 e: Is the configuration management plan protected from unauthorized access or modification?,,CM — Configuration Management,y,n,m,TRUE,"**Control:** CM-09 — Configuration Management Plan

**NIST 800-53 Rev 5 Control Language:**
CM-09: Develop, document, and implement a configuration management plan for the system that: (a) addresses roles, responsibilities, and CM processes and procedures; (b) establishes a process for identifying configuration items throughout the SDLC; (c) defines configuration items and places them under CM; (d) is reviewed and approved by defined personnel; and (e) protects the plan from unauthorized disclosure and modification.

**GovRAMP Parameter (Requirement e):** The CM plan must be stored in a controlled location. Access must be limited to authorized personnel. Version control or document management system is recommended.

**Suggested evidence:**
- Configuration management plan document
- Plan approval record (signature or ticket showing ISSO/AO review)
- List of configuration items under CM control",FedRAMP,n,TRUE
CM-11 a: Does your organization have a written policy stating that users may not install unauthorized software on company systems?,,CM — Configuration Management,y,n,m,TRUE,"**Control:** CM-11 — User-Installed Software

**NIST 800-53 Rev 5 Control Language:**
CM-11: (a) Establish policies governing the installation of software by users; (b) Enforce software installation policies using defined automated methods; and (c) Monitor policy compliance at a defined frequency.

**GovRAMP Parameter (Requirement a):** [Assignment resolved] Policies = Acceptable Use Policy (AUP) and software installation policy. The policy must explicitly prohibit user-installed software without prior approval from IT/ISSO.

**Suggested evidence:**
- Acceptable Use Policy (AUP) or software installation policy
- Endpoint protection tool configuration showing software control settings
- Scan results showing no unauthorized software detected",FedRAMP,n,TRUE
CM-11 b: Does a technical control (such as endpoint security software) enforce the no-unauthorized-software rule automatically?,,CM — Configuration Management,y,n,m,TRUE,"**Control:** CM-11 — User-Installed Software

**NIST 800-53 Rev 5 Control Language:**
CM-11: (a) Establish policies governing the installation of software by users; (b) Enforce software installation policies using defined automated methods; and (c) Monitor policy compliance at a defined frequency.

**GovRAMP Parameter (Requirement b):** [Assignment resolved] Automated methods = endpoint protection platform (e.g., CrowdStrike) configured to prevent or alert on installation of unauthorized applications. Policy-only enforcement is not sufficient.

**Suggested evidence:**
- Acceptable Use Policy (AUP) or software installation policy
- Endpoint protection tool configuration showing software control settings
- Scan results showing no unauthorized software detected",FedRAMP,n,TRUE
CM-11 c: Is compliance with the software installation policy regularly monitored?,,CM — Configuration Management,y,n,m,TRUE,"**Control:** CM-11 — User-Installed Software

**NIST 800-53 Rev 5 Control Language:**
CM-11: (a) Establish policies governing the installation of software by users; (b) Enforce software installation policies using defined automated methods; and (c) Monitor policy compliance at a defined frequency.

**GovRAMP Parameter (Requirement c):** [Assignment resolved] Monitoring frequency = monthly. Automated scans or endpoint reports should be reviewed by the ISSO to identify any policy violations.

**Suggested evidence:**
- Acceptable Use Policy (AUP) or software installation policy
- Endpoint protection tool configuration showing software control settings
- Scan results showing no unauthorized software detected",FedRAMP,n,TRUE
CP-02 a-1: Does your contingency plan identify which business functions are essential and what they need to keep running during a disruption?,,CP — Contingency Planning,y,n,m,TRUE,"**Control:** CP-02 — Contingency Plan

**NIST 800-53 Rev 5 Control Language:**
CP-02: Develop a contingency plan for the system that: (a-1) identifies essential mission and business functions and associated contingency requirements; (a-2) provides recovery objectives, restoration priorities, and metrics; (a-3) addresses contingency roles, responsibilities, and contact information; (a-4) addresses maintaining essential functions despite disruption; (a-5) addresses full system restoration; (a-6) addresses information sharing; (a-7) is reviewed and approved by defined personnel. Also: (b) distribute; (c) coordinate with IR; (d) review periodically; (e) update for changes; (f) communicate changes; (g) incorporate lessons learned; (h) protect from unauthorized disclosure.

**GovRAMP Parameter (Requirement a-1):** Essential functions must be explicitly listed. Each function should have documented contingency requirements (minimum staffing, dependencies, data needs).

**Suggested evidence:**
- Contingency Plan (CP) document
- CP approval record (signed by System Owner/ISSO/AO)
- CP distribution record
- Most recent CP test or tabletop exercise results
- CP review history",FedRAMP,n,TRUE
"CP-02 a-2: Does your contingency plan define your recovery time objectives (RTO), recovery point objectives (RPO), and restoration priorities?",,CP — Contingency Planning,y,n,m,TRUE,"**Control:** CP-02 — Contingency Plan

**NIST 800-53 Rev 5 Control Language:**
CP-02: Develop a contingency plan for the system that: (a-1) identifies essential mission and business functions and associated contingency requirements; (a-2) provides recovery objectives, restoration priorities, and metrics; (a-3) addresses contingency roles, responsibilities, and contact information; (a-4) addresses maintaining essential functions despite disruption; (a-5) addresses full system restoration; (a-6) addresses information sharing; (a-7) is reviewed and approved by defined personnel. Also: (b) distribute; (c) coordinate with IR; (d) review periodically; (e) update for changes; (f) communicate changes; (g) incorporate lessons learned; (h) protect from unauthorized disclosure.

**GovRAMP Parameter (Requirement a-2):** RTO and RPO must be defined for each essential function. Restoration priorities must indicate which functions are restored first.

**Suggested evidence:**
- Contingency Plan (CP) document
- CP approval record (signed by System Owner/ISSO/AO)
- CP distribution record
- Most recent CP test or tabletop exercise results
- CP review history",FedRAMP,n,TRUE
"CP-02 a-3: Does your contingency plan list who is responsible for what during a disruption, with current contact information?",,CP — Contingency Planning,y,n,m,TRUE,"**Control:** CP-02 — Contingency Plan

**NIST 800-53 Rev 5 Control Language:**
CP-02: Develop a contingency plan for the system that: (a-1) identifies essential mission and business functions and associated contingency requirements; (a-2) provides recovery objectives, restoration priorities, and metrics; (a-3) addresses contingency roles, responsibilities, and contact information; (a-4) addresses maintaining essential functions despite disruption; (a-5) addresses full system restoration; (a-6) addresses information sharing; (a-7) is reviewed and approved by defined personnel. Also: (b) distribute; (c) coordinate with IR; (d) review periodically; (e) update for changes; (f) communicate changes; (g) incorporate lessons learned; (h) protect from unauthorized disclosure.

**GovRAMP Parameter (Requirement a-3):** Roles, responsibilities, and contact information (name, phone, email) must be current and reviewed at least annually.

**Suggested evidence:**
- Contingency Plan (CP) document
- CP approval record (signed by System Owner/ISSO/AO)
- CP distribution record
- Most recent CP test or tabletop exercise results
- CP review history",FedRAMP,n,TRUE
CP-02 a-4: Does your contingency plan describe how essential business functions will continue even if the system goes down?,,CP — Contingency Planning,y,n,m,TRUE,"**Control:** CP-02 — Contingency Plan

**NIST 800-53 Rev 5 Control Language:**
CP-02: Develop a contingency plan for the system that: (a-1) identifies essential mission and business functions and associated contingency requirements; (a-2) provides recovery objectives, restoration priorities, and metrics; (a-3) addresses contingency roles, responsibilities, and contact information; (a-4) addresses maintaining essential functions despite disruption; (a-5) addresses full system restoration; (a-6) addresses information sharing; (a-7) is reviewed and approved by defined personnel. Also: (b) distribute; (c) coordinate with IR; (d) review periodically; (e) update for changes; (f) communicate changes; (g) incorporate lessons learned; (h) protect from unauthorized disclosure.

**GovRAMP Parameter (Requirement a-4):** Manual workarounds, fallback procedures, or alternate systems for essential functions must be documented.

**Suggested evidence:**
- Contingency Plan (CP) document
- CP approval record (signed by System Owner/ISSO/AO)
- CP distribution record
- Most recent CP test or tabletop exercise results
- CP review history",FedRAMP,n,TRUE
CP-02 a-5: Does your contingency plan cover how to fully restore the system with all its security controls intact?,,CP — Contingency Planning,y,n,m,TRUE,"**Control:** CP-02 — Contingency Plan

**NIST 800-53 Rev 5 Control Language:**
CP-02: Develop a contingency plan for the system that: (a-1) identifies essential mission and business functions and associated contingency requirements; (a-2) provides recovery objectives, restoration priorities, and metrics; (a-3) addresses contingency roles, responsibilities, and contact information; (a-4) addresses maintaining essential functions despite disruption; (a-5) addresses full system restoration; (a-6) addresses information sharing; (a-7) is reviewed and approved by defined personnel. Also: (b) distribute; (c) coordinate with IR; (d) review periodically; (e) update for changes; (f) communicate changes; (g) incorporate lessons learned; (h) protect from unauthorized disclosure.

**GovRAMP Parameter (Requirement a-5):** The restoration procedures must address restoring all security controls — not just functional recovery. The system must be restored to its authorized state.

**Suggested evidence:**
- Contingency Plan (CP) document
- CP approval record (signed by System Owner/ISSO/AO)
- CP distribution record
- Most recent CP test or tabletop exercise results
- CP review history",FedRAMP,n,TRUE
CP-02 a-6: Does your contingency plan address how incident and recovery information is shared with the right people?,,CP — Contingency Planning,y,n,m,TRUE,"**Control:** CP-02 — Contingency Plan

**NIST 800-53 Rev 5 Control Language:**
CP-02: Develop a contingency plan for the system that: (a-1) identifies essential mission and business functions and associated contingency requirements; (a-2) provides recovery objectives, restoration priorities, and metrics; (a-3) addresses contingency roles, responsibilities, and contact information; (a-4) addresses maintaining essential functions despite disruption; (a-5) addresses full system restoration; (a-6) addresses information sharing; (a-7) is reviewed and approved by defined personnel. Also: (b) distribute; (c) coordinate with IR; (d) review periodically; (e) update for changes; (f) communicate changes; (g) incorporate lessons learned; (h) protect from unauthorized disclosure.

**GovRAMP Parameter (Requirement a-6):** Information sharing procedures must identify who needs to know (GovRAMP PMO, affected agencies, internal leadership) and how they will be notified.

**Suggested evidence:**
- Contingency Plan (CP) document
- CP approval record (signed by System Owner/ISSO/AO)
- CP distribution record
- Most recent CP test or tabletop exercise results
- CP review history",FedRAMP,n,TRUE
CP-02 a-7: Has the contingency plan been formally reviewed and approved by the appropriate leadership?,,CP — Contingency Planning,y,n,m,TRUE,"**Control:** CP-02 — Contingency Plan

**NIST 800-53 Rev 5 Control Language:**
CP-02: Develop a contingency plan for the system that: (a-1) identifies essential mission and business functions and associated contingency requirements; (a-2) provides recovery objectives, restoration priorities, and metrics; (a-3) addresses contingency roles, responsibilities, and contact information; (a-4) addresses maintaining essential functions despite disruption; (a-5) addresses full system restoration; (a-6) addresses information sharing; (a-7) is reviewed and approved by defined personnel. Also: (b) distribute; (c) coordinate with IR; (d) review periodically; (e) update for changes; (f) communicate changes; (g) incorporate lessons learned; (h) protect from unauthorized disclosure.

**GovRAMP Parameter (Requirement a-7):** [Assignment resolved] Approving personnel = System Owner, ISSO, and Authorizing Official (AO). Must be re-approved after updates.

**Suggested evidence:**
- Contingency Plan (CP) document
- CP approval record (signed by System Owner/ISSO/AO)
- CP distribution record
- Most recent CP test or tabletop exercise results
- CP review history",FedRAMP,n,TRUE
